from;to;forward;backward
Wildau;Zeuthen;3;7
Zeuthen;Eichwalde;6;2
Eichwalde;Gruenau;3;4
Gruenau;Adlershof;3;2
Adlershof;Johannistal;3;2
Johannistal;Schoeneweide;2;3
Schoeneweide;Baumschulenweg;3;3
Baumschulenweg;Plaenterwald;3;2
Plaenterwald;Treptower Park;2;3
Treptower Park;Ostkreuz;3;3
Ostkreuz;Frankfurter Allee;3;2
Frankfurter Allee;Storkower Str;2;2
Storkower Str;Greifswalder Str;2;2
Greifswalder Str;Prenzlauer Allee;2;2
Prenzlauer Allee;Schoenhauser Allee;2;2
Schoenhauser Allee;Bornholmer Str;2;3
Bornholmer Str;Pankow;2;2
Pankow;Pankow Heinersdorf;3;3
Pankow Heinersdorf;Blankenburg;2;2
Blankenburg;Bucher Str;3;2
Bucher Str;Schoenerlinder Str;3;2
Schoenerlinder Str;Muehlenbeck Moenchmuehle;3;3
Muehlenbeck Moenchmuehle;Schoenfliess;4;3
Schoenfliess;Bergfelde;2;3
Bergfelde;Hohen Neuendorf;3;3
Hohen Neuendorf;Birkenwerder;3;3
